	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
88896cebc4c2142a11f8ff138a6da391	2	1	3	91	1.64402933195971	0.0782800612096576	104.715696814652	1	1	0.206614943086679	0.233641276303344	0.37652051605268	0.55881045662105
2b84f33bb6d868c4a5bcf8ef3d5bf488	0	1	0	25	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.206397588889877	0.177941868852699	0.246083080672251	0.519633837387887
561cc33aaae409f5181f50bc111bc19a	5	0	16	0	Inf	0.808303823157474	Inf	0.0527119938884645	0.570957435456739	-0.20594653670441	0.123634272260809	0.0957587903620909	0.519633837387887
053fe8e52a76b1fe3a4550197370885f	4	0	17	0	Inf	0.558252575288515	Inf	0.113148289618878	0.637139834057103	-0.205542414641033	0.135198865760085	0.128436376264122	0.519633837387887
008ecca12a604de7f31269b988c49c8a	3	0	15	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.205338953546219	0.14214552884527	0.148579125726138	0.519633837387887
c8253318c8e11bcba6994bc86b473285	0	1	0	48	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.204764936623719	0.152768266211889	0.180127347982976	0.519633837387887
e232b971b22f11e32f770f9bbf94fa7d	0	2	0	6	0	0	4.19185513437601	0.19047619047619	0.728820598006644	0.204075752154295	0.143053147296688	0.153703022118474	0.519633837387887
b64085c9b57040b87712e65c43fc12c0	4	0	19	0	Inf	0.558252575288515	Inf	0.113148289618878	0.637139834057103	-0.20312017354361	0.121534400659694	0.0946628754943744	0.519633837387887
32604ea27289fbab3cd95d9b23cd0409	3	0	35	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.202829134151629	0.135444786624836	0.13426211871623	0.519633837387887
3379239b27ed3bb2856797090d4ba8c4	0	1	0	24	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.202481728853203	0.174004410652295	0.244562393334939	0.519633837387887
e557bde11898d4abde91e96256327e9d	1	0	65	0	Inf	0.020528125	Inf	1	1	-0.202365683775724	0.231155803284961	0.381328314320156	0.55881045662105
ec6253c7f3d42b0e56ff883e607dbc5c	0	1	0	13	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.201820946813832	0.19281420126311	0.295232406955998	0.520035131840778
88e10e8af2b2c9ba1c1115fd4a26ae43	3	0	32	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.201748311734244	0.145120821234191	0.164465337693191	0.519633837387887
79248deb0b759e979510450ac6df7e71	4	0	18	0	Inf	0.558252575288515	Inf	0.113148289618878	0.637139834057103	-0.201362570425203	0.143096260163916	0.159373243628248	0.519633837387887
81753d380e32783069759e9a104510b6	1	0	16	0	Inf	0.020528125	Inf	1	1	-0.201318896892329	0.201492727374533	0.317728190743545	0.528543104033101
2f8176eeaa9ee380906002a44ed4debd	0	1	0	20	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.200748083503389	0.177673143415739	0.258529752097272	0.519633837387887
d30bc0d87df34ce612abdfbce11a5d52	0	1	0	14	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.200563247244401	0.188735710350955	0.287932904322268	0.519633837387887
efe4434719d145adcb1b073540a0df38	1	0	46	0	Inf	0.020528125	Inf	1	1	-0.200531893183618	0.223127186618232	0.368794590974716	0.55881045662105
6b17e823020cb9dd3d70de8a921ab334	0	1	0	45	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.200383411007188	0.149739780534712	0.180827687038274	0.519633837387887
b9cef35bab9a7ec7bb5d6259ac25d0a0	3	0	29	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.199969076041714	0.155760520295925	0.199203584890703	0.519633837387887
56998addd37e9aa43e5d0335829f8547	3	0	52	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.199888785776455	0.148374155416024	0.177917729813445	0.519633837387887
220d59763ba444935347c0dffdb5c5c7	1	0	61	0	Inf	0.020528125	Inf	1	1	-0.199312410098555	0.227779884655867	0.381561935717507	0.55881045662105
6a17f38e4a40b7e75db7352b5ba35a4e	0	1	0	44	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.198861817157169	0.1486892214561	0.181081457931338	0.519633837387887
d795b25c794380c2fd6f9eef1243e36c	1	0	130	0	Inf	0.020528125	Inf	1	1	-0.197057580596689	0.239814364480096	0.411242633091149	0.564457681665405
02cfd0ef50b3b743d96cd5734865239d	1	1	3	126	0.794724073103939	0.00956924039650944	66.0227744062347	1	1	0.196699801475965	0.216038097953092	0.362565925390629	0.55881045662105
f6d42d09e871e570fd50b9397be8b56a	3	2	39	29	1.22813439290493	0.122088254312132	16.6474698491683	1	1	0.196274535374809	1.83128945811734	0.914647511091595	0.931783841733327
f79e6e5ef1ecb0c1b19f5cc5a14c12e1	0	1	0	27	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.196136358588313	0.161753055066835	0.22529554958838	0.519633837387887
cc0a36455eb882a003c94d4d00ff938b	2	0	73	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.194923709868521	0.198975869401761	0.327266361396926	0.530988410710267
4ff69ae1168309a29f481fba99ae4729	2	0	23	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.193700420687086	0.164107352983901	0.237869987138179	0.519633837387887
1a639596eafe06496cbdc0587612ef7a	2	0	89	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.193094080347663	0.185862222405615	0.29884669810452	0.520837225674932
0946fde6947bf129ec2ee25e181de20b	0	1	0	15	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.192671740994631	0.175583138717365	0.272499412531578	0.519633837387887
c398ff5618d2bccf6741f54f34a233fe	2	1	8	101	1.64402933195971	0.0782800612096576	104.715696814652	1	1	0.192433981520663	0.260837729665951	0.460664176776822	0.582854988421317
236ee1eca75f247777f645f0b1346f5d	3	0	18	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.192313102164013	0.131827301732197	0.144612990187714	0.519633837387887
195bfa6f581be70f95b3e49ba7bfb8c6	2	0	48	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.192165157692331	0.171729045609173	0.263139255502605	0.519633837387887
bdb46afe37911d6cccb59dc30ce73d84	1	0	20	0	Inf	0.020528125	Inf	1	1	-0.191956871366733	0.200824794379726	0.33915181820619	0.541922404508525
9fa0243d6800c61cf5c2098369bf15a3	1	0	5	0	Inf	0.020528125	Inf	1	1	-0.191361886199537	0.170265663890202	0.261054687449894	0.519633837387887
837332d67b59de3ac74891c3a1480f63	2	0	13	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.190783579566134	0.175817018320418	0.277865949626247	0.519633837387887
256e3fd9521ff3ac85bc9d2e6298f7c8	0	1	0	39	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.190732691549227	0.143087400847634	0.182538257193033	0.519633837387887
01c2cd17c388e5464f516c1dc9911619	0	1	0	39	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.190732691549227	0.143087400847634	0.182538257193033	0.519633837387887
7d7e3c9af8b06352bdf1547936726116	2	0	13	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.190637037209742	0.157041083402789	0.224774079277988	0.519633837387887
aa0fe0616595557e4436865d677e0e94	1	0	13	0	Inf	0.020528125	Inf	1	1	-0.190167344472077	0.190811790429716	0.318947727288477	0.529734947688906
011dc0f38bc39140127471bbbd2c159d	2	0	22	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.189638663231393	0.170022955830431	0.264691499264023	0.519633837387887
d6fc5532aa111574979127c219abe424	2	0	24	0	Inf	0.150667892355685	Inf	0.492063492063492	0.814690026954178	-0.189602092028015	0.163057274647649	0.244912914373594	0.519633837387887
ad39f2a2446b4b6317640326e11de892	1	2	1	24	0.378757870335378	0.00594482380456019	7.9561952105911	0.574229691876751	0.921743697478992	0.189590730230799	0.179058640892129	0.2896821193481	0.519633837387887
b369a653e77cf04148f4b2de001c86ce	3	1	33	4	2.58199007800764	0.184081570258213	147.939764700437	0.612936083524319	0.939478451166095	-0.189408910982177	0.174089017302653	0.276594954985787	0.519633837387887
880a52364fbf1efa95ea31610dfdc355	1	0	41	0	Inf	0.020528125	Inf	1	1	-0.188008438698996	0.212306415719165	0.37585881507612	0.55881045662105
598a1b7044c8dbffa16292d4995db54c	3	1	48	2	2.58199007800764	0.184081570258213	147.939764700437	0.612936083524319	0.939478451166095	-0.187545487701956	0.157116940894327	0.232607805181737	0.519633837387887
f87ad0845acfac521024731bbb3bc403	1	2	628	136	0.378757870335378	0.00594482380456019	7.9561952105911	0.574229691876751	0.921743697478992	0.18715294532382	0.404713873527752	0.643771025586986	0.72424240378536
4b7c3f30ac35308c90983cf9e599ed46	4	0	16	0	Inf	0.558252575288515	Inf	0.113148289618878	0.637139834057103	-0.186667080694999	0.107196434272849	0.0816213155539403	0.519633837387887
0131c4e6bf76e602a8f39e9c4a5db425	2	1	12	2	1.64402933195971	0.0782800612096576	104.715696814652	1	1	-0.186280785357798	0.209683168321324	0.374330091055452	0.55881045662105
d46b373a27e8ad44a23f2ff73f1db157	3	0	18	0	Inf	0.338151190477249	Inf	0.238095238095238	0.728820598006644	-0.185707675658071	0.14175212904441	0.190166276457345	0.519633837387887
7e08ed0f72fe0e7df7c2b0ecb12173f3	0	1	0	9	0	0	31.2002778896625	0.444444444444444	0.814690026954178	0.185581296644534	0.180029143193893	0.302615714591981	0.521714326800257
