genus,aldex2,ancom,corncob,deseq2,edger,lefse,limma_voom_TMM,limma_voom_TMMwsp,maaslin2,maaslin2rare,metagenomeSeq,ttestrare,wilcoxonclr,wilcoxonrare
k__Bacteria___p__Proteobacteria___c__Gammaproteobacteria___o__Pasteurellales___f__Pasteurellaceae___g__Mannheimia,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Gammaproteobacteria___o__Pseudomonadales___f__Moraxellaceae___g__Acinetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Synergistetes___c__Synergistia___o__Synergistales___f__Synergistaceae___g__Cloacibacillus,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Verrucomicrobia___c__Verrucomicrobiae___o__Verrucomicrobiales___f__Verrucomicrobiaceae___g__Akkermansia,0,0,0,1,0,3,0,0,0,0,0,0,1,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Coriobacteriales___f__Coriobacteriaceae___g__Olsenella,0,0,0,0,0,0,1,1,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Carnobacteriaceae___g__Granulicatella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Leuconostocaceae___g__Weissella,0,0,2,1,1,1,1,0,0,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Lachnospira,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Parasporobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Pseudobutyrivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Ruminococcaceae___g__Anaerotruncus,0,0,1,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Veillonellaceae___g__Megasphaera,1,1,0,2,1,1,1,1,1,1,1,1,1,1
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Veillonellaceae___g__Mitsuokella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Proteobacteria___c__Gammaproteobacteria___o__Enterobacteriales___f__Enterobacteriaceae___g__Klebsiella,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Coriobacteriales___f__Coriobacteriaceae___g__Eggerthella,0,0,0,0,1,0,1,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Marvinbryantia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Lachnospiraceae___g__Oribacterium,0,0,0,0,0,0,1,0,0,0,0,0,1,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Mobiluncus,0,0,1,0,1,0,1,1,0,0,0,0,0,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Varibaculum,0,0,0,0,1,1,1,1,0,0,0,0,1,1
k__Bacteria___p__Bacteroidetes___c__Bacteroidia___o__Bacteroidales___f__Prevotellaceae___g__Hallella,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Bacilli___o__Bacillales___f__Staphylococcaceae___g__Staphylococcus,0,0,0,0,0,0,1,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Bacilli___o__Lactobacillales___f__Leuconostocaceae___g__Leuconostoc,0,0,1,1,1,1,1,1,1,0,0,0,1,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Clostridiales_Incertae_Sedis_XI___g__Anaerococcus,1,1,0,1,0,1,1,1,1,0,0,0,1,1
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Clostridiales_Incertae_Sedis_XI___g__Finegoldia,1,1,1,1,1,1,1,1,1,0,0,0,1,1
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Clostridiales_Incertae_Sedis_XI___g__Gallicola,0,0,0,1,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Incertae_Sedis_XI___g__Murdochiella,0,0,0,1,0,1,0,0,0,0,0,0,1,1
k__Bacteria___p__Firmicutes___c__Clostridia___o__Clostridiales___f__Peptostreptococcaceae___g__Peptostreptococcus,0,0,1,1,1,0,1,1,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Acidaminococcaceae___g__Succiniclasticum,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Firmicutes___c__Negativicutes___o__Selenomonadales___f__Veillonellaceae___g__Negativicoccus,0,0,0,1,1,1,1,1,0,0,0,0,0,0
