	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
158	99c4c527b611ea7b3e223674fd5cfe6f	6	FALSE	FALSE	FALSE	FALSE
159	23c2d0f31c82f0a1c9423d65b2aac586	2	FALSE	FALSE	FALSE	FALSE
160	e7436ef7c8d278b24c19514d3969faa9	4	FALSE	FALSE	FALSE	FALSE
161	01dacd1611c39be90b314281526259c3	21	FALSE	FALSE	FALSE	FALSE
162	02c5805397589c1db6ee3d72f38b1367	1	FALSE	FALSE	FALSE	FALSE
163	9a08a7248b88bdc3122608664667ff68	36	FALSE	FALSE	FALSE	FALSE
164	b6624d469e07c5b3fd6bdd6b9531f39d	1	FALSE	FALSE	FALSE	FALSE
165	6ba5c755a8cb06a0965c3a8d5a6e430e	8	FALSE	FALSE	FALSE	FALSE
166	c0cd0d5b75930802e3335840c1178b76	93	FALSE	FALSE	FALSE	FALSE
167	561cc33aaae409f5181f50bc111bc19a	35	FALSE	FALSE	FALSE	FALSE
168	c2779f1f7ce687c5e924c75365706798	0	FALSE	FALSE	FALSE	FALSE
169	444bb101a33f7641f3f72757ff5114b2	18	FALSE	FALSE	FALSE	FALSE
170	d13c63b2cc2807e9e1ccef02d9f537c4	2	FALSE	FALSE	FALSE	FALSE
171	b0d26f4970a76dc4a7328ec36c80cd37	56	FALSE	FALSE	FALSE	FALSE
172	254d025aa486dc327b138a6a8488c36d	261	FALSE	FALSE	FALSE	TRUE
173	c4781a3c11accd1f20314d04de6b309c	5	FALSE	FALSE	FALSE	FALSE
174	98982ad6064699f5632bc562c9de8c3e	102	FALSE	FALSE	FALSE	FALSE
175	d54a3f8ce2f931b7f21727f3945fec0d	2	FALSE	FALSE	FALSE	FALSE
176	fd65b8265ffc439611c35417706e25d1	4	FALSE	FALSE	FALSE	FALSE
177	b96519bf700298012bf0e40c27b79b8a	2	FALSE	FALSE	FALSE	FALSE
178	ca50bb1c15efaaea0ec274a03faee390	48	FALSE	FALSE	FALSE	FALSE
179	8eb2f4eb67d6575eeca2f5c359b7a004	3	FALSE	FALSE	FALSE	FALSE
180	8276b3032dc62cf54a4c985f8d4686b0	37	FALSE	FALSE	FALSE	FALSE
181	a362544ccd4b2230e4d22b5a0c78527b	5	FALSE	FALSE	FALSE	FALSE
182	3d00b9abbe20692cd4475c080390297b	3	FALSE	FALSE	FALSE	FALSE
183	46163eb432246ac992c7832b604e54c2	51	FALSE	FALSE	FALSE	FALSE
184	5f521ef477e928671444274c10e37296	43	FALSE	FALSE	FALSE	FALSE
185	cf5e5bd74edafe46fce836e8d016b15a	62	FALSE	FALSE	FALSE	FALSE
186	4607df6bd986d6b7f7a0a5d8b1a2532d	34	FALSE	FALSE	FALSE	FALSE
187	ba99a1e307f3a33355c5233769c00ce8	1	FALSE	FALSE	FALSE	FALSE
188	13cb052c16be10b9ecc56923bdaa437b	38	FALSE	FALSE	FALSE	FALSE
189	012590796dceb2653dd46e29caa03955	1	FALSE	FALSE	FALSE	FALSE
190	57f32f25d80926e758a4325d7c55c43b	0	FALSE	FALSE	FALSE	FALSE
191	2dd0f5a4bb28c01f20a7d8346c605fcc	3	FALSE	FALSE	FALSE	FALSE
192	869e382015da63c5b7204666542b08bf	2	FALSE	FALSE	FALSE	FALSE
193	79457c402888ea7608b43bf1e09e70cb	17	FALSE	FALSE	FALSE	FALSE
194	b947bef5d734e990348f58b5a1ff8f48	22	FALSE	FALSE	FALSE	FALSE
195	9f993dc9a9a42cb324a710ff0a59ad4b	1	FALSE	FALSE	FALSE	FALSE
196	b7ec83512f548f0ca46d90adc4305d10	20	FALSE	FALSE	FALSE	FALSE
197	4b7c3f30ac35308c90983cf9e599ed46	19	FALSE	FALSE	FALSE	FALSE
198	bd7dc7cd9521fd107ae6f75a22463cbb	5	FALSE	FALSE	FALSE	FALSE
199	8635bc94336ee3b80b74fa81efec63ef	3	FALSE	FALSE	FALSE	FALSE
200	b64085c9b57040b87712e65c43fc12c0	21	FALSE	FALSE	FALSE	FALSE
201	f6d42d09e871e570fd50b9397be8b56a	0	FALSE	FALSE	FALSE	FALSE
202	f1a48e851b5eb6c782048f454e3806c8	6	FALSE	FALSE	FALSE	FALSE
203	2b9ca544156abee649d475e44e7906c8	27	FALSE	FALSE	FALSE	FALSE
204	e153b46fe2d99a06fadbf8ca364b1426	1	FALSE	FALSE	FALSE	FALSE
205	daa5f87eb9a2dd64abc5a58c5688327f	0	FALSE	FALSE	FALSE	FALSE
206	8b0927ab2a688fd071f6483e931a9479	80	FALSE	FALSE	FALSE	FALSE
207	0328a9e5c3a2c31c55d235a908703434	0	FALSE	FALSE	FALSE	FALSE
208	9330552170a4a2a2903277c74c6eddd7	55	FALSE	FALSE	FALSE	FALSE
209	3c3cb5c931a467ecbcc43800a1c85141	3	FALSE	FALSE	FALSE	FALSE
210	04c4f62bf5fe0727d49b026537b624ef	89	FALSE	FALSE	FALSE	FALSE
211	200ffd63aeaa93813d2fa93e10ac8a9c	7	FALSE	FALSE	FALSE	FALSE
212	15dad37d20a2a45710997baa02d5f8e4	2	FALSE	FALSE	FALSE	FALSE
213	fea9e199679036c9bcd796a24a81830a	4	FALSE	FALSE	FALSE	FALSE
214	50a94e3c8bbb8347addc8068156fb6f8	186	FALSE	FALSE	FALSE	FALSE
215	b0a3574c4492821c9175e36727c2be8c	4	FALSE	FALSE	FALSE	FALSE
216	02b2383ce3892d0422177fe43fa6f966	37	FALSE	FALSE	FALSE	FALSE
217	4c98471f6effefa7877c3f47547bfa86	5	FALSE	FALSE	FALSE	FALSE
218	68259c9ecbadd42a330106348e52e404	37	FALSE	FALSE	FALSE	FALSE
219	d0e71d60e80c784c12de2ea20ce001c5	275	FALSE	FALSE	TRUE	TRUE
220	975050d7195edf6b010b41923ee6d7ff	1	FALSE	FALSE	FALSE	FALSE
221	95d52c8631d20bc33a919212e63088cd	3	FALSE	FALSE	FALSE	FALSE
222	3138a67b87390f8d25e95bfcb94ebc9b	3	FALSE	FALSE	FALSE	FALSE
223	6cdbb7406f4acd5eec6e2a8656e61ecc	0	FALSE	FALSE	FALSE	FALSE
224	1ce6b03f55ca1901a6069934b9536054	0	FALSE	FALSE	FALSE	FALSE
225	d7465c0e6f817aacd1c7a99b12dfe12b	0	FALSE	FALSE	FALSE	FALSE
226	f6e2bf3869898bd905df30099e4bec71	0	FALSE	FALSE	FALSE	FALSE
227	c2929d9d6596f1fb4485addbfaaede33	1	FALSE	FALSE	FALSE	FALSE
228	fc00fcabeae23ca4eb463365342bf181	3	FALSE	FALSE	FALSE	FALSE
229	bda5c4db5cd56437531eeb510ceda8e3	40	FALSE	FALSE	FALSE	FALSE
230	0c480bf73faf15402f98bf3781c96fd4	1	FALSE	FALSE	FALSE	FALSE
231	7ec8e54bd3237a008c4db0bdcffb7b8f	1	FALSE	FALSE	FALSE	FALSE
232	cd5d02a681034c35541c5eb5f6d8bc5e	2	FALSE	FALSE	FALSE	FALSE
233	42ae4cfcab6d4a2125684c0402bb52d5	1	FALSE	FALSE	FALSE	FALSE
234	0fd2d12445afdd1184160a25a2bfb995	21	FALSE	FALSE	FALSE	FALSE
235	a29971905462fa50ca51d0d479667bc4	45	FALSE	FALSE	FALSE	FALSE
236	b0347994850b9876d953d49820212bad	21	FALSE	FALSE	FALSE	FALSE
237	a1bc996afbfa3f6311d198cad6c46107	1	FALSE	FALSE	FALSE	FALSE
238	87a38137790e7828f52e696971ca2288	21	FALSE	FALSE	FALSE	FALSE
239	97ed9c32c0b6f04cf476f12dc0f30afc	42	FALSE	FALSE	FALSE	FALSE
240	8f93150c99bb01d48c0b3e718ff7a366	1	FALSE	FALSE	FALSE	FALSE
241	944c0983be4da13b9caff59fd9873beb	0	FALSE	FALSE	FALSE	FALSE
242	8c6f91ecbec1d466c51859ce9fbe0f78	21	FALSE	FALSE	FALSE	FALSE
243	beca4c621bd6841086ae8ca50652aca7	90	FALSE	FALSE	FALSE	FALSE
244	345b0ba27d663f3ee7d020d11711e319	1	FALSE	FALSE	FALSE	FALSE
245	598a1b7044c8dbffa16292d4995db54c	3	FALSE	FALSE	FALSE	FALSE
246	c547de470698d66fc76d4ce988dc15fa	24	FALSE	FALSE	FALSE	FALSE
247	db0b29c9f8f91f861a888aa6967ac9e8	44	FALSE	FALSE	FALSE	FALSE
248	f4b5dfc008732ae4551726f5d3573ad2	0	FALSE	FALSE	FALSE	FALSE
249	2230b4f5a28935ca094de4813bee9457	19	FALSE	FALSE	FALSE	FALSE
250	c81a99d324c939673a6010fcfc3661af	1	FALSE	FALSE	FALSE	FALSE
251	809ecf1662910a04426ce4d9c86afc3c	21	FALSE	FALSE	FALSE	FALSE
252	92d7d4ed8f540b6a22c4ac069da43dc1	42	FALSE	FALSE	FALSE	FALSE
253	be8ec52d6467dc48047ed846da2b3596	1	FALSE	FALSE	FALSE	FALSE
254	61db93081ed0952181ac0cc1947b6211	7	FALSE	FALSE	FALSE	FALSE
255	c64e3b26623185a9c71ee2ffaefa85b6	2	FALSE	FALSE	FALSE	FALSE
256	ab91b0f6f70a5993d5121cd2cfeb6422	20	FALSE	FALSE	FALSE	FALSE
257	aa264addf7bf503e5d88556ae9291539	36	FALSE	FALSE	FALSE	FALSE
258	1a672a19e12619d8b2a43ab3e780c47e	4	FALSE	FALSE	FALSE	FALSE
259	dc45112d57355ba15a0c3fcf6bad7631	1	FALSE	FALSE	FALSE	FALSE
260	ca08c2ce30306134a1b8ace9b8eacda6	21	FALSE	FALSE	FALSE	FALSE
261	26888bad0cd8c6ae57af7b7de92a5640	22	FALSE	FALSE	FALSE	FALSE
262	1feab43b32685d040e3d1099bfdfa906	20	FALSE	FALSE	FALSE	FALSE
263	4d986b3c9bf2b6630b7134281ed3e32c	5	FALSE	FALSE	FALSE	FALSE
264	6002fa67d7d0554aa367193fb840603d	3	FALSE	FALSE	FALSE	FALSE
265	d17d95b1bac320c43768b58f4901f75a	24	FALSE	FALSE	FALSE	FALSE
266	8fe8148b108751e3881bad5c90bc3398	4	FALSE	FALSE	FALSE	FALSE
267	8540be5687449bc81b329153dee68676	27	FALSE	FALSE	FALSE	FALSE
268	73114ca86a36c97048c75ffce116a4a8	8	FALSE	FALSE	FALSE	FALSE
269	125896c06f9b5dc2c5b4c32e81a5c4e1	3	FALSE	FALSE	FALSE	FALSE
270	ee41b89426af6b53f552a12022930c2a	41	FALSE	FALSE	FALSE	FALSE
271	943490dd38726e088e97dad9df5b5853	22	FALSE	FALSE	FALSE	FALSE
272	86cf8b3248f3e452e0c2277cc1a784d0	0	FALSE	FALSE	FALSE	FALSE
273	6035ced479a8cce8084aa7fd371bdb61	1	FALSE	FALSE	FALSE	FALSE
274	4fbced73f1e198e42ad79c9bfee94b88	46	FALSE	FALSE	FALSE	FALSE
275	f00bcf9075d99439378922c89ad7fad7	42	FALSE	FALSE	FALSE	FALSE
276	8292e565547d6c1133d4a12857605080	1	FALSE	FALSE	FALSE	FALSE
277	fcc2fb3189540f7d72597f0099880b83	6	FALSE	FALSE	FALSE	FALSE
278	34169faf75febc1c04f1a9f4278e0761	3	FALSE	FALSE	FALSE	FALSE
279	99fb700bdef9fdc796551edac7e4c307	2	FALSE	FALSE	FALSE	FALSE
280	826be98e28439cdbc5976e6596ea495c	21	FALSE	FALSE	FALSE	FALSE
281	4a33bd0214fbc77ce465482efa01ca3d	20	FALSE	FALSE	FALSE	FALSE
282	c72828dd44ac0bbe4d37584d16dca200	1	FALSE	FALSE	FALSE	FALSE
283	f1bdf19263a4babc93ec6b8be06a6b8b	4	FALSE	FALSE	FALSE	FALSE
284	51dd2caf93d6b86f35f01da42dc7453c	0	FALSE	FALSE	FALSE	FALSE
285	06b1529f7e916199cfe39c0a6d55bb35	6	FALSE	FALSE	FALSE	FALSE
286	317bfc056dfde448573fc8c9a843bc97	5	FALSE	FALSE	FALSE	FALSE
287	014d2795e1189ec856c12679fa4feb72	37	FALSE	FALSE	FALSE	FALSE
288	05bd3290ebc06d61571968595d63cd50	9	FALSE	FALSE	FALSE	FALSE
289	1b496a38baf11b0c66227017e7c12e04	5	FALSE	FALSE	FALSE	FALSE
290	1416db00530b8689854229cc33b83315	22	FALSE	FALSE	FALSE	FALSE
291	993c4efcf381ba07e3cb640daeb8500c	1	FALSE	FALSE	FALSE	FALSE
292	7be9082c85f1f5faa97c2610542738b5	42	FALSE	FALSE	FALSE	FALSE
293	9e6f476523ba7a046fcb7c1ae5a9c124	3	FALSE	FALSE	FALSE	FALSE
294	d6cae5097151b548ec69c1b256bfce2c	8	FALSE	FALSE	FALSE	FALSE
295	f16c03ffd311b8dcbb0ea863a986d86a	3	FALSE	FALSE	FALSE	FALSE
296	cab9884020b7583b83f9f6bdc5aca410	21	FALSE	FALSE	FALSE	FALSE
297	942c830cbb17f74d56da24d60344ad42	7	FALSE	FALSE	FALSE	FALSE
298	c04b4f275fc85f39ed2538bec8f641fe	7	FALSE	FALSE	FALSE	FALSE
299	1d3d35fafa01a487b9813c58e8a68e44	23	FALSE	FALSE	FALSE	FALSE
300	8a4b9a227b6992917ba1ba1d9a76aafc	39	FALSE	FALSE	FALSE	FALSE
301	6747cce82fdf489e202db152c2c46cd8	5	FALSE	FALSE	FALSE	FALSE
302	3766f79d6df21d0704d7b93d7e369e4a	8	FALSE	FALSE	FALSE	FALSE
