	S5-MALL-013	S2-MALL-018	S1-MALL-018	S1-MALL-014	S7-MALL-016	S2-MALL-016	S5-MALL-010	S1-MALL-007	S2-MALL-011	S1-MALL-017	S3-MALL-008	S4-MALL-010	S1-MALL-005	S5-MALL-016	S3-MALL-012	S3-MALL-013	S6-MALL-016	S1-MALL-010	S2-MALL-013	S1-MALL-015	S3-MALL-010	S2-MALL-017	S6-MALL-013	S3-MALL-016	S4-MALL-016	S1-MALL-008	S6-MALL-010	S2-MALL-010	S1-MALL-016	S1-MALL-012	S1-MALL-004	S4-MALL-013	S1-MALL-006	S2-MALL-008	S3-MALL-014	S4-MALL-015
Groupings	Y	No	No	No	No	No	No	Y	Y	No	Y	No	No	No	Y	Y	No	No	Y	Y	No	No	Y	No	No	Y	No	No	No	Y	Y	Y	Y	Y	No	Y
8f93150c99bb01d48c0b3e718ff7a366	 0	 0	 0	 0	 0	 0	10	 0	 0	 0	 0	13	 0	 0	 0	 0	 0	 0	 0	 0	 0	45	 0	 0	 0	 0	 3	 2	 0	 0	 0	 0	 2	 0	 0	 0
944c0983be4da13b9caff59fd9873beb	 0	 0	 0	 0	 0	 0	10	 0	 0	53	 0	 0	 0	 0	 0	 0	 0	 0	 0	20	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
15fb696f0471011b9b3c29bc3b467b9c	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8c6f91ecbec1d466c51859ce9fbe0f78	 0	 0	 0	 0	 0	 0	10	 0	 0	 9	 0	31	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0
e176a9f3b0785f5d38f92c2225890048	 0	 0	 0	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0
beca4c621bd6841086ae8ca50652aca7	 0	 0	 0	 0	 0	 0	 7	 0	 0	 0	 0	24	 1	 0	 0	 0	 0	 0	 0	 0	 1	11	 0	 0	 0	 0	 7	 3	 0	 0	 0	 0	 0	 0	 0	 0
345b0ba27d663f3ee7d020d11711e319	 0	 0	 0	 0	 0	 0	10	 0	 0	 3	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 4	 0	 0	 0	13	 2	 1	 0	 0	 0	 0	 0	 0	 0	 0
1218aba74db5ea7c80b9779bf2d995eb	 0	 0	 0	 0	 0	 0	12	 0	 0	 0	 0	12	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0
643785e1f50926d576ba76147c0b653b	 0	 0	 0	 0	 0	 0	15	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0
598a1b7044c8dbffa16292d4995db54c	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8ca5f8f5108efec3619e2674f531e428	 0	 0	 0	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	45	 0	 0	 0	 0	 0	 0	 0	 0
c547de470698d66fc76d4ce988dc15fa	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
db0b29c9f8f91f861a888aa6967ac9e8	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	3	0	0	0	0	0	0	0	0
8664d2b5b7f47e2bfcd1d90438d4551d	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
276f80f358b5bf97fb7d5b56361f7a99	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	33	 0	 0	 0	 0	 0	 0	 0	 0
f4b5dfc008732ae4551726f5d3573ad2	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	16	 6	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
2230b4f5a28935ca094de4813bee9457	 0	 0	 0	 0	 0	 0	 5	 0	 0	15	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
c81a99d324c939673a6010fcfc3661af	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	18	 0	 0	 0	 0	 0	 0	 0	28	63	24	 0	 0	 0	 0	 0	 0	 0	 0
c3b3027aea764015989f5fc8ea7f55e5	 0	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	13	 0	 0	 0	 0	 0	 0	 0	 0	 0	 6	 0	 0	 0	 0	 0	 0	 0	 0
18c73ee511ac0b36e7d017a3a2fdb10f	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	85	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
809ecf1662910a04426ce4d9c86afc3c	 0	 0	 0	 0	 0	 0	 7	 0	 0	 0	 0	 4	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	22	 0	 0	 0	 0	 0	 0	 0	 0	 0
6e4f10a3c664f40477ca8f1adcd83f98	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92d7d4ed8f540b6a22c4ac069da43dc1	  0	  0	  0	  0	  0	  0	  4	  0	  0	  0	  0	  3	  0	  0	  0	  0	  0	 11	  0	  0	260	  0	  0	  0	  0	  0	 11	  2	  0	  0	  0	  0	  0	  0	  0	  0
be8ec52d6467dc48047ed846da2b3596	 0	 0	 0	 0	 0	 0	 3	 0	 0	 0	 0	 0	 5	 0	 0	 0	 0	 2	 0	 0	43	30	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0
e858ec6e2df15c0b2ba355286e47b2c0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d6e048eb367ae5d0811088e5f4ddb713	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
c35319ed6c33ed013f2299ec1fddef41	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
61db93081ed0952181ac0cc1947b6211	0	0	0	0	0	0	3	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c64e3b26623185a9c71ee2ffaefa85b6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	3	0	0	0	0	0	0	0	0	0
