	logFC	AveExpr	t	P.Value	adj.P.Val	B
a4eb298e4dc21ed2e64fa03d8d76f326	-0.338440911287329	6.4769886277228	-0.806889496594619	0.423086757227961	0.536093221049968	-6.22238476813098
e7436ef7c8d278b24c19514d3969faa9	-1.09733069816644	6.67939440498968	-2.44339054299021	0.0176723440436522	0.0971343258175556	-3.67810528702923
285b880884becb06e6b7b5b675598bb6	-0.57784519286983	6.35133412894344	-1.47047224203722	0.146936902834787	0.258617979999722	-5.51576917023351
b07e9503737d6933cef61ac887aa12bf	-0.641997135897097	6.39135003425972	-1.64562172620416	0.105349619429468	0.219638538405793	-5.24412421146857
85c868b29de1b7f4cfd88e879b31bf77	-0.661710059169751	6.40736394875896	-1.69970907828204	0.0946412560352027	0.205903393812125	-5.15426693924675
3fe467ef1e40167d2b0c72d59b65c6dd	-0.75045766996213	6.56299962677892	-1.84312521891978	0.070516242619802	0.175364914694044	-4.88415445525175
2be3b381b09e23005a4041a34225b1db	-0.718930957429015	6.43091941838549	-1.82428924823903	0.0733552558819416	0.178390495251003	-4.94187156103269
52165b78ccda4e6fb3948a6b8719f3d4	-0.907756205203524	6.52034603953124	-2.10398792764828	0.0398058784688025	0.133518165276557	-4.41459466417996
01dacd1611c39be90b314281526259c3	-0.987496587081225	6.61674698710609	-2.50356443745549	0.0151853685378827	0.0923361192140656	-3.55650184046657
02c5805397589c1db6ee3d72f38b1367	-1.27673704632035	7.13166118661387	-2.50354729552715	0.0151860295343327	0.0923361192140656	-3.47636720524847
9a08a7248b88bdc3122608664667ff68	-1.52014595386252	6.90317312017487	-3.36813869191064	0.00136222668093894	0.0341020822552415	-1.34264772311578
b6624d469e07c5b3fd6bdd6b9531f39d	-1.14170803720749	6.89021093264323	-2.56319876366143	0.0130372139879235	0.0896752812677334	-3.3809358210447
e370695ab2ed0fa4f1d103e34bc64561	-0.340737316750212	6.50513804521728	-0.719982322339096	0.474480122154588	0.583447200325929	-6.28010018643792
6ba5c755a8cb06a0965c3a8d5a6e430e	-0.29137152820625	6.74175090565207	-0.619266318490153	0.538210172278555	0.640378882948383	-6.28408979267535
9ef44f64908e1742139850c7c0909a19	-0.861409509613423	6.41009738498288	-2.09802920418104	0.0403500935852513	0.133518165276557	-4.44542421461716
c0cd0d5b75930802e3335840c1178b76	-1.87675821363224	7.64328787510248	-3.63034781230982	0.00060726960693946	0.0228376748609733	-0.460810612457087
561cc33aaae409f5181f50bc111bc19a	-1.00169574177576	6.60667559601207	-2.54840934117121	0.0135425733841646	0.0908301259460213	-3.45717987800793
e4ac2e4c483563ee613075344d249abb	-0.561153445277864	6.46790071818798	-1.45180140166165	0.15204312361058	0.263758499443065	-5.51295475399139
c2779f1f7ce687c5e924c75365706798	-0.955475003440309	6.97012352799332	-2.1444046322197	0.0362805785543783	0.13083373019781	-4.25159973985819
444bb101a33f7641f3f72757ff5114b2	-1.3704237540693	6.73609215463761	-3.00387126734267	0.00395637442414496	0.052075778357808	-2.33400746232934
d13c63b2cc2807e9e1ccef02d9f537c4	-1.16997083552318	6.7015790134334	-2.63163225577198	0.0109145716183393	0.082448993299577	-3.24853311029508
b0d26f4970a76dc4a7328ec36c80cd37	-1.4030135824208	6.81254809889469	-3.3242493453551	0.0015545108720338	0.0341020822552415	-1.47208738759205
254d025aa486dc327b138a6a8488c36d	-2.36912053345969	7.78928638859116	-4.39102662197795	4.95540872653016e-05	0.00434837115753021	1.85660068641773
c4781a3c11accd1f20314d04de6b309c	-1.40102888252273	7.33565606456066	-2.93317288162959	0.00482648091730121	0.0597915812460962	-2.41454677659219
98982ad6064699f5632bc562c9de8c3e	-1.77754479609914	7.24994573002627	-3.77464449355953	0.000384203330282706	0.0161464113341485	-0.107607400785062
d54a3f8ce2f931b7f21727f3945fec0d	-0.830008231741195	6.95954267366814	-1.80667804280375	0.0760958771316894	0.181650779743336	-4.87226738707705
fd65b8265ffc439611c35417706e25d1	-1.03346946439125	6.63091031685317	-2.55587684993841	0.013285226854479	0.0896752812677334	-3.43586734695419
b96519bf700298012bf0e40c27b79b8a	-0.812925318319812	6.8083731885754	-1.97939394172913	0.052612290413901	0.153546376309354	-4.59085475835981
ca50bb1c15efaaea0ec274a03faee390	-1.5163357786213	7.07896312428104	-3.30611797373147	0.00164120708643895	0.0345638212404042	-1.47795688320436
8eb2f4eb67d6575eeca2f5c359b7a004	-0.914104896204001	6.785065000025	-2.08372881700521	0.041682648642488	0.134225776821223	-4.3951111965824
8276b3032dc62cf54a4c985f8d4686b0	-1.32916711267987	6.72688299263509	-2.91237036236673	0.00511451733412588	0.0619032960095926	-2.56772020025426
c2b6c3f919486fbaa631bd98333c7d43	-0.541652184497033	6.46993025880436	-1.41391430208045	0.162829845838394	0.269437322888423	-5.56468392968058
a362544ccd4b2230e4d22b5a0c78527b	-0.682025487637891	6.64237360091997	-1.71829072022753	0.0911756554316502	0.203838567238912	-5.07823632079718
3d00b9abbe20692cd4475c080390297b	-0.656599918658615	6.69687777328445	-1.47483494505818	0.145763382540399	0.257311899861799	-5.42334989049188
46163eb432246ac992c7832b604e54c2	-1.20256836566302	6.75845548993656	-2.99890615719294	0.00401235589841616	0.05216062667941	-2.34414089781448
008ecca12a604de7f31269b988c49c8a	-0.872035947879137	6.51288737715347	-2.19318783979435	0.0323917815949822	0.126315453871801	-4.23929851236497
62062139737a93da2b68094691d4c197	-0.669697511859827	6.44225130934362	-1.74016964686369	0.0872300426796068	0.197533838584142	-5.08112163649592
b2e1afec744e257e779ad655e0db44e7	-0.852600926646172	6.5496549998434	-2.15394906994667	0.0354890640992048	0.130209005214156	-4.3095473185594
20e84212d7ffe4009bc4377738a2c325	-0.753829215466869	6.48033013421496	-1.96177653903151	0.0546821604618794	0.157141747850826	-4.68904677338314
5f521ef477e928671444274c10e37296	-1.45301015435893	7.07069309746546	-3.40498310446838	0.00121841462388548	0.0337629104987214	-1.20661960274081
57a4aca4aed837c224a3dc227ece50ea	-0.781706682662444	6.41009738498288	-1.94102782524616	0.0572089576830672	0.157339861697085	-4.74012397349179
cf5e5bd74edafe46fce836e8d016b15a	-1.72809800497431	7.56572736283386	-2.82190272801096	0.00656224493435818	0.0664427299603765	-2.6180334007024
f95843a02554ac41c0b0093c3a9644cc	-0.739187404644298	6.46487476342261	-1.85677059515883	0.0685178428214994	0.172605953327844	-4.87934189188367
4607df6bd986d6b7f7a0a5d8b1a2532d	-1.15493080368735	6.65335287561762	-2.88787760822012	0.00547406021075587	0.062806637287592	-2.63895076940159
75e41943607d3c8571b9c9e7440d10db	-0.418424720217333	6.51094397275992	-1.010845341414	0.316365497767288	0.427641680550647	-6.0310407720237
53238008193a04476e76864020df6027	-0.935813896242055	6.45201443074643	-2.1487417171666	0.0359190119387426	0.130423170936193	-4.33789150835772
ba99a1e307f3a33355c5233769c00ce8	-1.03193197189401	6.93055818584821	-2.41371961158996	0.0190287438659496	0.0988050046419262	-3.70412196596744
017b7db772cf745b2a70595893dbf6a7	-0.460782175218471	6.29382331427979	-1.22363670921003	0.226127313045102	0.334708522790637	-5.85194712384045
13cb052c16be10b9ecc56923bdaa437b	-1.13637049402222	6.5968967234595	-2.79149184145799	0.00712828002672237	0.0670185613226666	-2.88634305879794
2947f6570bae2386e5baa76db11eeec6	-0.789672555319957	6.38187678654207	-1.96726391872385	0.0540300961210858	0.15673193172315	-4.69909805668487
9eb7c096136b077fa79c4c7b1710ef61	-0.865873238999319	6.41182130076433	-2.06643737749673	0.0433448536099396	0.136245166720198	-4.5059361875124
012590796dceb2653dd46e29caa03955	-0.277893527601231	6.65330195456598	-0.591445482251913	0.556562147452002	0.659235029546634	-6.32214326461371
57f32f25d80926e758a4325d7c55c43b	-0.608910661545721	7.07462239212284	-1.12065104480829	0.267139380219564	0.376238302552873	-5.79182357864814
54e223fcb424dd3c719462d4b6db4fea	-0.460782175218471	6.29382331427979	-1.22363670921003	0.226127313045102	0.334708522790637	-5.85194712384045
5b13321b3c031aa44306246a271b531a	-0.700439008910888	6.46684605568245	-1.84269557415894	0.0705799539598	0.175364914694044	-4.90344708659893
2dd0f5a4bb28c01f20a7d8346c605fcc	-0.607155182631252	6.62028994645855	-1.52867015384322	0.131881216156823	0.244061371903576	-5.37544032859556
869e382015da63c5b7204666542b08bf	-0.770372605491592	6.77551406900269	-1.84135665066918	0.0707788117236169	0.175364914694044	-4.84572036597825
79457c402888ea7608b43bf1e09e70cb	-1.67304897533545	6.66808939552592	-3.37621219631453	0.00132940190521996	0.0341020822552415	-1.34425338486203
8cf30506fc1bda966716247e99325ab7	-0.721042352173951	6.44064004258152	-1.87300949138705	0.0662020891223972	0.170859803543834	-4.85534642888853
b947bef5d734e990348f58b5a1ff8f48	-0.758212832708969	6.51428547925208	-2.02563135557072	0.0474969418454851	0.14413337107578	-4.56528369873924
717a287913b97d2a93b35dbf42b816f7	-1.06603541398974	6.61774922407965	-2.46255928602394	0.0168429411686314	0.0958010218939178	-3.64757334674428
9f993dc9a9a42cb324a710ff0a59ad4b	-0.659248405907372	6.93228497919904	-1.24116201759721	0.219633440552375	0.32712024455679	-5.69438955675541
e2f9939a88a3128baf0178b82a3dd941	-0.309815469727771	6.41182130076433	-0.806334420913981	0.423404034978905	0.536093221049968	-6.23918897052331
3785d4bb27070c403ad0731f9124b1e3	-0.33558640830083	6.38991863701971	-0.880329295736503	0.382380390363162	0.498324939421299	-6.18222697960977
b7ec83512f548f0ca46d90adc4305d10	-1.04807922765683	6.60754682298177	-2.51487294181447	0.0147549351456931	0.0923361192140656	-3.53282007141939
4b7c3f30ac35308c90983cf9e599ed46	-0.951131020441885	6.55430138456836	-2.4253490478065	0.018486346899745	0.0975708199886129	-3.74273531217694
bd7dc7cd9521fd107ae6f75a22463cbb	-1.2804301737369	7.33248832430295	-2.53977303854501	0.0138458305802889	0.0916959723336115	-3.35077668882349
99290cd2d6ad0c9e43727b03a6fcc046	-0.261520470601288	6.39900654655453	-0.682407020966817	0.497747635591978	0.605209781035212	-6.33083937899422
8635bc94336ee3b80b74fa81efec63ef	-0.444779688903412	6.6033936140199	-1.11719140955184	0.268602981376061	0.376299483854313	-5.89509852666836
b64085c9b57040b87712e65c43fc12c0	-0.899141738744863	6.57773614668722	-2.31323778289108	0.024342585012325	0.110485956974044	-3.97767386067006
2541420a89be8a18bf2db0f007557b4a	-0.919267012279469	6.57299333456827	-2.22051945663558	0.0303772692337378	0.124418281702086	-4.17038797023654
d5fbe108312b59f1315d326265673ef3	-0.176182877071225	6.39536086507458	-0.441446368285704	0.660561243166785	0.752782455686823	-6.46641852777929
f6d42d09e871e570fd50b9397be8b56a	-0.780726961549289	6.75925142050248	-1.18786750043674	0.239815512773856	0.3487924515896	-5.781370202163
f1a48e851b5eb6c782048f454e3806c8	-4.02914579775579	8.81556397116667	-2.72685027222772	0.00848377087782082	0.0704832708997054	-2.65613373874872
2b9ca544156abee649d475e44e7906c8	-4.45416386552422	8.73851942253676	-3.12924003788264	0.00276253898172294	0.0440750537538523	-1.69488008771541
e153b46fe2d99a06fadbf8ca364b1426	-5.56399568072475	8.2084144475479	-4.2054528732629	9.31526369179787e-05	0.00754536359035628	1.2913428987391
daa5f87eb9a2dd64abc5a58c5688327f	-0.734716627486124	8.30159164414568	-0.715654416809798	0.47712844582264	0.585566728964149	-5.79384490832937
8b0927ab2a688fd071f6483e931a9479	-3.19841167559224	7.49849129064928	-4.95945401819141	6.71789142146882e-06	0.00129281132534231	3.69725786215332
